"Notes","County","County Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Clinton County, NY","36019",11,555293,1.98,0.99,3.54
,"Dutchess County, NY","36027",24,2072999,1.16,0.74,1.72
,"Erie County, NY","36029",28,6553406,0.43,0.28,0.62
,"Essex County, NY","36031",10,258773,3.86,1.85,7.11
,"Fulton County, NY","36035",15,369878,4.06,2.27,6.69
,"Herkimer County, NY","36043",22,422925,5.20,3.26,7.88
,"Kings County, NY","36047",38,18092091,0.21,0.15,0.29
,"Monroe County, NY","36055",26,5233023,0.50,0.32,0.73
,"Nassau County, NY","36059",25,9615387,0.26,0.17,0.38
,"New York County, NY","36061",28,11300660,0.25,0.16,0.36
,"Niagara County, NY","36063",10,1469670,0.68,0.33,1.25
,"Onondaga County, NY","36067",14,3260721,0.43,0.23,0.72
,"Orange County, NY","36071",21,2781828,0.75,0.47,1.15
,"Queens County, NY","36081",28,15936794,0.18,0.12,0.25
,"Rensselaer County, NY","36083",106,1116403,9.49,7.69,11.30
,"Richmond County, NY","36085",11,3401175,0.32,0.16,0.58
,"Rockland County, NY","36087",18,2344909,0.77,0.45,1.21
,"Saratoga County, NY","36091",150,1645551,9.12,7.66,10.57
,"Schenectady County, NY","36093",200,1106352,18.08,15.57,20.58
,"Schoharie County, NY","36095",28,213410,13.12,8.72,18.96
,"Suffolk County, NY","36103",27,10542855,0.26,0.17,0.37
,"Warren County, NY","36113",53,453850,11.68,8.75,15.27
,"Washington County, NY","36115",63,424690,14.83,11.40,18.98
,"Westchester County, NY","36119",19,6886506,0.28,0.17,0.43
,"Buncombe County, NC","37021",10,1884005,0.53,0.25,0.98
,"Cumberland County, NC","37051",10,2352730,0.43,0.20,0.78
,"Durham County, NC","37063",11,2304859,0.48,0.24,0.85
,"Forsyth County, NC","37067",10,2710981,0.37,0.18,0.68
,"Guilford County, NC","37081",17,3808558,0.45,0.26,0.71
,"Mecklenburg County, NC","37119",15,7970856,0.19,0.11,0.31
,"Wake County, NC","37183",18,8084281,0.22,0.13,0.35
,"Ashland County, OH","39005",33,369698,8.93,6.14,12.54
,"Butler County, OH","39017",12,2722399,0.44,0.23,0.77
,"Columbiana County, OH","39029",10,707492,1.41,0.68,2.60
,"Fairfield County, OH","39045",17,1130149,1.50,0.88,2.41
,"Franklin County, OH","39049",48,9277280,0.52,0.38,0.69
,"Hamilton County, OH","39061",23,5767735,0.40,0.25,0.60
,"Knox County, OH","39083",25,439886,5.68,3.68,8.39
,"Lucas County, OH","39095",17,2994150,0.57,0.33,0.91
,"Cleveland County, OK","40027",20,2055078,0.97,0.59,1.50
,"Oklahoma County, OK","40109",52,5620547,0.93,0.69,1.21
,"Jackson County, OR","41029",13,1549829,0.84,0.45,1.43
,"Klamath County, OR","41035",10,485447,2.06,0.99,3.79
,"Lane County, OR","41039",27,2673783,1.01,0.67,1.47
,"Marion County, OR","41047",10,2437320,0.41,0.20,0.75
,"Multnomah County, OR","41051",21,5624427,0.37,0.23,0.57
,"Washington County, OR","41067",15,4213925,0.36,0.20,0.59
,"Adams County, PA","42001",10,733378,1.36,0.65,2.51
,"Allegheny County, PA","42003",28,8573837,0.33,0.22,0.47
,"Berks County, PA","42011",25,2994062,0.83,0.54,1.23
,"Bucks County, PA","42017",45,4471719,1.01,0.73,1.35
,"Chester County, PA","42029",17,3768795,0.45,0.26,0.72
,"Delaware County, PA","42045",62,4008884,1.55,1.19,1.98
,"Erie County, PA","42049",18,1882236,0.96,0.57,1.51
,"Franklin County, PA","42055",14,1095829,1.28,0.70,2.14
,"Montgomery County, PA","42091",50,5966581,0.84,0.62,1.10
,"Philadelphia County, PA","42101",30,11014656,0.27,0.18,0.39
,"Schuylkill County, PA","42107",74,998812,7.41,5.82,9.30
,"York County, PA","42133",27,3203413,0.84,0.56,1.23
,"Providence County, RI","44007",24,4563598,0.53,0.34,0.78
,"Charleston County, SC","45019",15,2922963,0.51,0.29,0.85
,"Davidson County, TN","47037",39,4934843,0.79,0.56,1.08
,"Knox County, TN","47093",13,3399879,0.38,0.20,0.65
,"Shelby County, TN","47157",90,6470344,1.39,1.12,1.71
,"Bexar County, TX","48029",37,14319608,0.26,0.18,0.36
,"Collin County, TX","48085",35,7830120,0.45,0.31,0.62
,"Dallas County, TX","48113",50,18358452,0.27,0.20,0.36
,"Harris County, TX","48201",45,33503567,0.13,0.10,0.18
,"Nueces County, TX","48355",28,2497874,1.12,0.74,1.62
,"Tarrant County, TX","48439",24,15005520,0.16,0.10,0.24
,"Webb County, TX","48479",13,1907939,0.68,0.36,1.17
,"Davis County, UT","49011",26,2555336,1.02,0.66,1.49
,"Salt Lake County, UT","49035",107,8253352,1.30,1.05,1.54
,"Utah County, UT","49049",34,4763335,0.71,0.49,1.00
,"Washington County, UT","49053",14,1333470,1.05,0.57,1.76
,"Weber County, UT","49057",25,1863901,1.34,0.87,1.98
,"Chittenden County, VT","50007",14,1171150,1.20,0.65,2.01
,"Fairfax County, VA","51059",20,8030028,0.25,0.15,0.38
,"Prince William County, VA","51153",14,3371937,0.42,0.23,0.70
,"Clark County, WA","53011",19,3543565,0.54,0.32,0.84
,"King County, WA","53033",60,15890945,0.38,0.29,0.49
,"Kitsap County, WA","53035",18,1925130,0.94,0.55,1.48
,"Lewis County, WA","53041",15,585391,2.56,1.43,4.23
,"Pierce County, WA","53053",16,6433123,0.25,0.14,0.40
,"Snohomish County, WA","53061",20,5849870,0.34,0.21,0.53
,"Berkeley County, WV","54003",22,882705,2.49,1.56,3.77
,"Mineral County, WV","54057",13,187887,6.92,3.68,11.83
,"Brown County, WI","55009",10,1877483,0.53,0.26,0.98
,"Kenosha County, WI","55059",26,1181313,2.20,1.44,3.22
,"Milwaukee County, WI","55079",62,6526608,0.95,0.73,1.22
,"Outagamie County, WI","55087",11,1336312,0.82,0.41,1.47
,"Waukesha County, WI","55133",15,2862252,0.52,0.29,0.86
"---"
"Dataset: Underlying Cause of Death, 2018-2024, Single Race"
"Query Parameters:"
"ICD-10 Codes: Y10 (Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent); Y11"
"(Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere"
"classified, undetermined intent); Y12 (Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not"
"elsewhere classified, undetermined intent); Y13 (Poisoning by and exposure to other drugs acting on the autonomic nervous"
"system, undetermined intent); Y14 (Poisoning by and exposure to other and unspecified drugs, medicaments and biological"
"substances, undetermined intent)"
"Group By: County"
"Show Totals: False"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information."
"---"
