"Notes","County","County Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Indiana County, PA","42063",28,602308,4.65,3.09,6.72
,"Jefferson County, PA","42065",19,308977,Unreliable,3.70,9.60
,"Lackawanna County, PA","42069",59,1481116,3.98,3.03,5.14
,"Lancaster County, PA","42071",118,3770228,3.13,2.57,3.69
,"Lawrence County, PA","42073",38,612245,6.21,4.39,8.52
,"Lebanon County, PA","42075",30,970636,3.09,2.09,4.41
,"Lehigh County, PA","42077",130,2540659,5.12,4.24,6.00
,"Luzerne County, PA","42079",117,2226170,5.26,4.30,6.21
,"Lycoming County, PA","42081",44,805362,5.46,3.97,7.33
,"Mc Kean County, PA","42083",13,292751,Unreliable,2.36,7.59
,"Mercer County, PA","42085",35,789083,4.44,3.09,6.17
,"Mifflin County, PA","42087",13,324758,Unreliable,2.13,6.85
,"Monroe County, PA","42089",56,1173781,4.77,3.60,6.20
,"Montgomery County, PA","42091",161,5755816,2.80,2.37,3.23
,"Northampton County, PA","42095",111,2117049,5.24,4.27,6.22
,"Northumberland County, PA","42097",30,647762,4.63,3.12,6.61
,"Philadelphia County, PA","42101",302,10997841,2.75,2.44,3.06
,"Pike County, PA","42103",30,391726,7.66,5.17,10.93
,"Schuylkill County, PA","42107",62,1006875,6.16,4.72,7.89
,"Somerset County, PA","42111",12,525221,Unreliable,1.18,3.99
,"Susquehanna County, PA","42115",14,288636,Unreliable,2.65,8.14
,"Venango County, PA","42121",15,366833,Unreliable,2.29,6.74
,"Washington County, PA","42125",80,1454144,5.50,4.36,6.85
,"Wayne County, PA","42127",29,358699,8.08,5.41,11.61
,"Westmoreland County, PA","42129",140,2487308,5.63,4.70,6.56
,"York County, PA","42133",105,3109740,3.38,2.73,4.02
,"Bristol County, RI","44001",17,342471,Unreliable,2.89,7.95
,"Kent County, RI","44003",98,1151491,8.51,6.91,10.37
,"Newport County, RI","44005",41,578046,7.09,5.09,9.62
,"Providence County, RI","44007",318,4440092,7.16,6.37,7.95
,"Washington County, RI","44009",59,883623,6.68,5.08,8.61
,"Abbeville County, SC","45001",15,173566,Unreliable,4.84,14.25
,"Aiken County, SC","45003",60,1170668,5.13,3.91,6.60
,"Anderson County, SC","45007",106,1376511,7.70,6.23,9.17
,"Bamberg County, SC","45009",10,102648,Unreliable,4.67,17.92
,"Beaufort County, SC","45013",83,1278109,6.49,5.17,8.05
,"Berkeley County, SC","45015",75,1472844,5.09,4.01,6.38
,"Calhoun County, SC","45017",11,103287,Unreliable,5.32,19.06
,"Charleston County, SC","45019",264,2758313,9.57,8.42,10.73
,"Cherokee County, SC","45021",31,396232,7.82,5.32,11.11
,"Chester County, SC","45023",27,226159,11.94,7.87,17.37
,"Chesterfield County, SC","45025",31,321704,9.64,6.55,13.68
,"Clarendon County, SC","45027",12,237696,Unreliable,2.61,8.82
,"Colleton County, SC","45029",13,264161,Unreliable,2.62,8.42
,"Darlington County, SC","45031",30,471201,6.37,4.30,9.09
,"Dillon County, SC","45033",15,216192,Unreliable,3.88,11.44
,"Dorchester County, SC","45035",79,1080029,7.31,5.79,9.12
,"Fairfield County, SC","45039",11,158841,Unreliable,3.46,12.39
,"Florence County, SC","45041",54,970217,5.57,4.18,7.26
,"Georgetown County, SC","45043",39,430446,9.06,6.44,12.39
,"Greenville County, SC","45045",255,3492239,7.30,6.41,8.20
,"Greenwood County, SC","45047",29,491121,5.90,3.95,8.48
,"Hampton County, SC","45049",11,138959,Unreliable,3.95,14.16
,"Horry County, SC","45051",204,2251519,9.06,7.82,10.30
,"Kershaw County, SC","45055",45,450556,9.99,7.29,13.36
,"Lancaster County, SC","45057",31,624996,4.96,3.37,7.04
,"Laurens County, SC","45059",39,467497,8.34,5.93,11.40
,"Lexington County, SC","45063",121,2004093,6.04,4.96,7.11
,"Marion County, SC","45067",14,220467,Unreliable,3.47,10.65
,"Newberry County, SC","45071",25,266843,9.37,6.06,13.83
,"Oconee County, SC","45073",45,537495,8.37,6.11,11.20
,"Orangeburg County, SC","45075",49,618728,7.92,5.86,10.47
,"Pickens County, SC","45077",56,860051,6.51,4.92,8.46
,"Richland County, SC","45079",144,2859349,5.04,4.21,5.86
,"Spartanburg County, SC","45083",179,2123803,8.43,7.19,9.66
,"Sumter County, SC","45085",34,750998,4.53,3.14,6.33
,"Union County, SC","45087",19,193619,Unreliable,5.91,15.32
,"Williamsburg County, SC","45089",12,222359,Unreliable,2.79,9.43
,"York County, SC","45091",115,1815966,6.33,5.18,7.49
,"Beadle County, SD","46005",14,128215,Unreliable,5.97,18.32
,"Bennett County, SD","46007",10,24052,Unreliable,19.94,76.46
,"Brookings County, SD","46011",12,238878,Unreliable,2.60,8.78
,"Brown County, SD","46013",22,271561,8.10,5.08,12.27
,"Buffalo County, SD","46017",12,14236,Unreliable,43.56,147.24
,"Butte County, SD","46019",12,71874,Unreliable,8.63,29.16
,"Charles Mix County, SD","46023",16,65365,Unreliable,13.99,39.75
,"Codington County, SD","46029",12,195916,Unreliable,3.16,10.70
,"Corson County, SD","46031",18,29180,Unreliable,36.56,97.49
,"Custer County, SD","46033",12,60344,Unreliable,10.28,34.74
,"Dewey County, SD","46041",28,40306,69.47,46.16,100.40
,"Fall River County, SD","46047",10,47558,Unreliable,10.08,38.67
,"Lawrence County, SD","46081",25,176689,14.15,9.16,20.89
,"Lincoln County, SD","46083",13,385323,Unreliable,1.80,5.77
,"Meade County, SD","46093",21,193476,10.85,6.72,16.59
,"Mellette County, SD","46095",13,14524,Unreliable,47.66,153.06
,"Minnehaha County, SD","46099",137,1309663,10.46,8.71,12.21
,"Pennington County, SD","46103",113,767722,14.72,12.00,17.43
,"Roberts County, SD","46109",19,72310,Unreliable,15.82,41.03
,"Shannon County, SD","46113",105,99964,105.04,84.95,125.13
,"Todd County, SD","46121",34,70503,48.22,33.40,67.39
,"Union County, SD","46127",11,106281,Unreliable,5.17,18.52
,"Anderson County, TN","47001",67,532472,12.58,9.75,15.98
,"Bedford County, TN","47003",33,334063,9.88,6.80,13.87
,"Benton County, TN","47005",17,112908,Unreliable,8.77,24.11
,"Blount County, TN","47009",66,901727,7.32,5.66,9.31
,"Bradley County, TN","47011",45,733801,6.13,4.47,8.21
,"Campbell County, TN","47013",23,278695,8.25,5.23,12.38
,"Cannon County, TN","47015",11,98755,Unreliable,5.56,19.93
,"Carroll County, TN","47017",11,196532,Unreliable,2.79,10.01
,"Carter County, TN","47019",49,396442,12.36,9.14,16.34
,"Cheatham County, TN","47021",32,280313,11.42,7.81,16.12
,"Claiborne County, TN","47025",15,221942,Unreliable,3.78,11.15
,"Cocke County, TN","47029",21,248568,8.45,5.23,12.91
,"Coffee County, TN","47031",36,383193,9.39,6.58,13.01
,"Cumberland County, TN","47035",48,411606,11.66,8.60,15.46
,"Davidson County, TN","47037",327,4768222,6.86,6.11,7.60
,"DeKalb County, TN","47041",13,137455,Unreliable,5.04,16.17
,"Dickson County, TN","47043",38,364745,10.42,7.37,14.30
,"Dyer County, TN","47045",14,263691,Unreliable,2.90,8.91
,"Fayette County, TN","47047",10,278132,Unreliable,1.72,6.61
,"Fentress County, TN","47049",10,126590,Unreliable,3.79,14.53
,"Franklin County, TN","47051",20,291430,6.86,4.19,10.60
,"Gibson County, TN","47053",20,345018,5.80,3.54,8.95
,"Giles County, TN","47055",16,204220,Unreliable,4.48,12.72
,"Grainger County, TN","47057",18,161093,Unreliable,6.62,17.66
,"Greene County, TN","47059",43,480761,8.94,6.47,12.05
,"Grundy County, TN","47061",14,93887,Unreliable,8.15,25.02
,"Hamblen County, TN","47063",44,447077,9.84,7.15,13.21
,"Hamilton County, TN","47065",191,2505432,7.62,6.54,8.70
,"Hardin County, TN","47071",17,180613,Unreliable,5.48,15.07
,"Hawkins County, TN","47073",28,396344,7.06,4.69,10.21
,"Henderson County, TN","47077",14,195609,Unreliable,3.91,12.01
,"Henry County, TN","47079",23,226024,10.18,6.45,15.27
,"Jackson County, TN","47087",14,81381,Unreliable,9.41,28.86
,"Jefferson County, TN","47089",41,373886,10.97,7.87,14.88
,"Knox County, TN","47093",286,3198184,8.94,7.91,9.98
,"Lawrence County, TN","47099",26,301181,8.63,5.64,12.65
,"Lincoln County, TN","47103",15,236892,Unreliable,3.54,10.44
,"Loudon County, TN","47105",33,363077,9.09,6.26,12.76
,"McMinn County, TN","47107",34,370412,9.18,6.36,12.83
,"McNairy County, TN","47109",10,181938,Unreliable,2.64,10.11
,"Madison County, TN","47113",33,685416,4.81,3.31,6.76
,"Marion County, TN","47115",23,199621,11.52,7.30,17.29
,"Marshall County, TN","47117",15,226855,Unreliable,3.70,10.91
